Country,Year,GDP per Capita
Africa Eastern and Southern,2021,1522.59008804972
Africa Eastern and Southern,2020,1344.08096192004
Africa Eastern and Southern,2019,1493.78044490037
Africa Eastern and Southern,2018,1538.92418773564
Africa Western and Central,2021,1747.84054911545
Africa Western and Central,2020,1664.24917643553
Africa Western and Central,2019,1783.65436491191
Africa Western and Central,2018,1703.89639222804
Arab World,2021,6445.80726093411
Arab World,2020,5648.34111789395
Arab World,2019,6525.21184312385
Arab World,2018,6576.51663083912
Caribbean small states,2021,11920.3427576157
Caribbean small states,2020,10270.790474345
Caribbean small states,2019,12356.3216439351
Caribbean small states,2018,12047.8528111635
Central Europe and the Baltics,2021,19144.0685537317
Central Europe and the Baltics,2020,16450.8775088615
Central Europe and the Baltics,2019,16475.161477584
Central Europe and the Baltics,2018,16181.6073703684
Early-demographic dividend,2021,3732.86849069467
Early-demographic dividend,2020,3240.95150218079
Early-demographic dividend,2019,3527.54327176522
Early-demographic dividend,2018,3503.21320137921
East Asia & Pacific,2021,13117.3989864275
East Asia & Pacific,2020,11464.1012855988
East Asia & Pacific,2019,11458.795842252
East Asia & Pacific,2018,11285.8972298534
East Asia & Pacific (excluding high income),2021,9795.31938942758
East Asia & Pacific (excluding high income),2020,8245.71521577714
East Asia & Pacific (excluding high income),2019,8153.62140587102
East Asia & Pacific (excluding high income),2018,7925.42476458249
East Asia & Pacific (IDA & IBRD countries),2021,9905.15440355218
East Asia & Pacific (IDA & IBRD countries),2020,8338.13776036985
East Asia & Pacific (IDA & IBRD countries),2019,8245.10161071216
East Asia & Pacific (IDA & IBRD countries),2018,8014.49766251885
Euro area,2021,42978.8817916638
Euro area,2020,38241.5756519082
Euro area,2019,39217.3839966029
Euro area,2018,40068.5215464339
Europe & Central Asia,2021,27591.2437497041
Europe & Central Asia,2020,24091.3416895738
Europe & Central Asia,2019,24958.3859753607
Europe & Central Asia,2018,25340.1536558293
Europe & Central Asia (excluding high income),2021,6623.50479025077
Europe & Central Asia (excluding high income),2020,5733.5388117287
Europe & Central Asia (excluding high income),2019,6020.75079545102
Europe & Central Asia (excluding high income),2018,5952.35226461881
Europe & Central Asia (IDA & IBRD countries),2021,10010.7744146786
Europe & Central Asia (IDA & IBRD countries),2020,8443.06159084581
Europe & Central Asia (IDA & IBRD countries),2019,9027.50709505223
Europe & Central Asia (IDA & IBRD countries),2018,8884.71291375979
European Union,2021,39180.3758426065
European Union,2020,34635.4895902222
European Union,2019,35341.5703329216
European Union,2018,36002.564051993
Fragile and conflict affected situations,2021,1753.54775352624
Fragile and conflict affected situations,2020,1680.96884674984
Fragile and conflict affected situations,2019,1890.22006963616
Fragile and conflict affected situations,2018,1819.00302147749
Heavily indebted poor countries (HIPC),2021,1040.03410722444
Heavily indebted poor countries (HIPC),2020,959.181737577661
Heavily indebted poor countries (HIPC),2019,976.312547557857
Heavily indebted poor countries (HIPC),2018,968.18729528141
High income,2021,45229.2753341398
High income,2020,40262.8698752887
High income,2019,41457.3871652811
High income,2018,41180.3426854104
IBRD only,2021,7289.99204765957
IBRD only,2020,6171.87965743072
IBRD only,2019,6459.05649734705
IBRD only,2018,6376.20637613022
IDA & IBRD total,2021,5707.61064306399
IDA & IBRD total,2020,4884.2624249805
IDA & IBRD total,2019,5125.36118877249
IDA & IBRD total,2018,5071.47780601742
IDA blend,2021,1827.96310627066
IDA blend,2020,1713.86457937643
IDA blend,2019,1865.35605450935
IDA blend,2018,1856.81876322366
IDA only,2021,1276.2327161945
IDA only,2020,1197.82655626131
IDA only,2019,1211.19958978076
IDA only,2018,1177.52764226474
IDA total,2021,1460.26675489479
IDA total,2020,1370.26257847044
IDA total,2019,1430.29036966118
IDA total,2018,1405.59717231873
Late-demographic dividend,2021,11597.4855569831
